atomic_number,Element,Value
1,H,12.0
2,He,10.914
3,Li,0.96
4,Be,1.38
5,B,2.70
6,C,8.46
7,N,7.83
8,O,8.69
9,F,4.40
10,Ne,8.06
11,Na,6.22
12,Mg,7.55
13,Al,6.43
14,Si,7.51
15,P,5.41
16,S,7.12
17,Cl,5.31
18,Ar,6.38
19,K,5.07
20,Ca,6.30
21,Sc,3.14
22,Ti,4.97
23,V,3.90
24,Cr,5.62
25,Mn,5.42
26,Fe,7.46
27,Co,4.94
28,Ni,6.20
29,Cu,4.18
30,Zn,4.56
31,Ga,3.02
32,Ge,3.63
36,Kr,3.12
37,Rb,2.32
38,Sr,2.83
39,Y,2.21
40,Zr,2.59
41,Nb,1.47
42,Mo,1.88
44,Ru,1.75
45,Rh,0.78
46,Pd,1.57
47,Ag,0.96
49,In,0.8
50,Sn,2.02
54,Xe,2.22
56,Ba,2.27
57,La,1.11
58,Ce,1.58
59,Pr,0.75
60,Nd,1.42
62,Sm,0.95
63,Eu,0.52
64,Gd,1.08
65,Tb,0.31
66,Dy,1.10
67,Ho,0.48
68,Er,0.93
69,Tm,0.11
70,Yb,0.85
71,Lu,0.10
72,Hf,0.85
74,W,0.79
76,Os,1.35
79,Au,0.91
81,Tl,0.92
82,Pb,1.95
90,Th,0.03
